TSI NanoScan SMPS Model 3910
Mode,Single
Serial Number,3910131505
Last Calibrated,2016/01/11


File Index,1
Sample #,1
Date,2022/11/29
Time,16:13:14
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),20,

Time Elapsed (s),Number (#/cm3),Status
1,3.1200,No errors
2,3.8400,No errors
3,3.1200,No errors
4,1.9200,No errors
5,2.6400,No errors
6,2.4000,No errors
7,3.3600,No errors
8,2.1600,No errors
9,1.9200,No errors
10,2.8800,No errors
11,2.1600,No errors
12,3.8400,No errors
13,3.3600,No errors
14,3.6000,No errors
15,2.6400,No errors
16,2.6400,No errors
17,0.9600,No errors
18,2.1600,No errors
19,3.1200,No errors
20,3.3600,No errors
21,2.4000,No errors
22,2.1600,No errors
23,2.6400,No errors
24,3.3600,No errors
25,2.1600,No errors
26,1.9200,No errors
27,3.3600,No errors
28,1.9200,No errors
29,2.4000,No errors
30,2.6400,No errors
31,2.4000,No errors
32,2.1600,No errors
33,3.1200,No errors
34,2.1600,No errors
35,1.6800,No errors
36,3.8400,No errors
37,2.1600,No errors
38,3.3600,No errors
39,2.8800,No errors
40,1.9200,No errors
41,2.6400,No errors
42,1.6800,No errors
43,2.4000,No errors
44,0.9600,No errors
45,2.4000,No errors
46,2.6400,No errors
47,3.8400,No errors
48,2.1600,No errors
49,3.3600,No errors
50,3.1200,No errors
51,1.9200,No errors
52,2.6400,No errors
53,3.1200,No errors
54,3.6000,No errors
55,4.0800,No errors
56,3.6000,No errors
57,2.6400,No errors
58,3.8400,No errors
59,2.1600,No errors
60,3.6000,No errors


File Index,1
Sample #,17
Date,2022/11/29
Time,16:44:30
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),180,

Time Elapsed (s),Number (#/cm3),Status
1,1.4400,No errors
2,1.2000,No errors
3,3.6000,No errors
4,2.6400,No errors
5,3.8400,No errors
6,3.6000,No errors
7,1.4400,No errors
8,2.6400,No errors
9,2.1600,No errors
10,2.4000,No errors
11,2.4000,No errors
12,3.3600,No errors
13,1.9200,No errors
14,3.3600,No errors
15,2.4000,No errors
16,1.9200,No errors
17,2.8800,No errors
18,3.1200,No errors
19,3.6000,No errors
20,3.1200,No errors
21,3.1200,No errors
22,1.6800,No errors
23,2.1600,No errors
24,2.4000,No errors
25,2.8800,No errors
26,2.4000,No errors
27,1.6800,No errors
28,2.4000,No errors
29,1.6800,No errors
30,1.9200,No errors
31,1.4400,No errors
32,3.1200,No errors
33,3.3600,No errors
34,2.1600,No errors
35,3.6000,No errors
36,3.6000,No errors
37,2.1600,No errors
38,1.9200,No errors
39,3.3600,No errors
40,2.1600,No errors
41,2.6400,No errors
42,3.8400,No errors
43,4.5600,No errors
44,2.6400,No errors
45,2.8800,No errors
46,2.8800,No errors
47,1.6800,No errors
48,3.1200,No errors
49,1.4400,No errors
50,4.0800,No errors
51,0.9600,No errors
52,1.6800,No errors
53,1.4400,No errors
54,3.1200,No errors
55,2.4000,No errors
56,2.6400,No errors
57,3.1200,No errors
58,4.0800,No errors
59,2.1600,No errors
60,2.8800,No errors


File Index,1
Sample #,18
Date,2022/11/29
Time,16:45:57
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),180,

Time Elapsed (s),Number (#/cm3),Status
1,0.7200,No errors
2,0.9600,No errors
3,1.6800,No errors
4,1.2000,No errors
5,0.4800,No errors
6,1.2000,No errors
7,0.2400,No errors
8,1.2000,No errors
9,0.9600,No errors
10,0.7200,No errors
11,1.4400,No errors
12,0.9600,No errors
13,0.4800,No errors
14,1.9200,No errors
15,0.9600,No errors
16,1.2000,No errors
17,1.4400,No errors
18,1.2000,No errors
19,0.7200,No errors
20,0.0000,No errors
21,0.4800,No errors
